 sexo,Question,Percentage,grupo_edad
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.03791469194313","21-25"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.7914691943128","26-30"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.30805687203791","31-35"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.35071090047393","36-40"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.01895734597156","41-45"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.69668246445498","46-50"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.23222748815166","51-55"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.853080568720379","56-60"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.37914691943128","61-65"
"Hombre","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.14218009478673","66-70"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.4739336492891","11-15"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.56398104265403","16-20"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.92417061611374","21-25"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","12.9857819905213","26-30"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","14.8815165876777","31-35"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","14.8341232227488","36-40"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","9.0521327014218","41-45"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","5.02369668246445","46-50"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.13270142180095","51-55"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.616113744075829","56-60"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.4739336492891","61-65"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.18957345971564","66-70"
"Mujer","Asistió a juntas, festivales o actividades de apoyo en la guardería o escuela de algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.14218009478673","71-75"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.454201362604088","11-15"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.2112036336109","16-20"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","4.76911430734292","21-25"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.64572293716881","26-30"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.81302043906132","31-35"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.26722180166541","36-40"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","4.8448145344436","41-45"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.78501135503407","46-50"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.57380772142316","51-55"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.984102952308857","56-60"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.984102952308857","61-65"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.378501135503407","66-70"
"Hombre","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0757002271006813","76-80"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.0757002271006813","11-15"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","2.11960635881908","16-20"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","7.49432248296745","21-25"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","12.4905374716124","26-30"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","11.0522331566995","31-35"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","11.7335352006056","36-40"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","6.28311884935655","41-45"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","3.6336109008327","46-50"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","1.81680545041635","51-55"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.832702498107494","56-60"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.378501135503407","61-65"
"Mujer","Llevó, recogió o esperó para que recibiera atención de salud (vacunas, dentista, chequeo médico, etcétera) a algún integrante del hogar de 0 a 14 años y sin cuidados especiales, durante la semana pasada","0.302800908402725","66-70"
