 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2021","Hombres","Ciudad de México","10 a 14 años","0.272617410352287"
"Álvaro Obregón","2021","Hombres","Ciudad de México","15 a 19 años","0.29689597545577"
"Álvaro Obregón","2021","Hombres","Ciudad de México","20 a 24 años","0.318986582038949"
"Álvaro Obregón","2021","Hombres","Ciudad de México","25 a 29 años","0.340910592795708"
"Álvaro Obregón","2021","Hombres","Ciudad de México","30 a 34 años","0.339033613151386"
"Álvaro Obregón","2021","Hombres","Ciudad de México","35 a 39 años","0.319019901204232"
"Álvaro Obregón","2021","Hombres","Ciudad de México","40 a 44 años","0.29338635671254"
"Álvaro Obregón","2021","Hombres","Ciudad de México","45 a 49 años","0.27740426376473"
"Álvaro Obregón","2021","Hombres","Ciudad de México","50 a 54 años","0.251504165950767"
"Álvaro Obregón","2021","Hombres","Ciudad de México","55 a 59 años","0.223282832955364"
"Álvaro Obregón","2021","Hombres","Ciudad de México","60 a 64 años","0.189874816564112"
"Álvaro Obregón","2021","Hombres","Ciudad de México","65 y más","0.386191338416431"
"Álvaro Obregón","2022","Hombres","Ciudad de México","Hasta 4 años","0.236247178353434"
"Álvaro Obregón","2022","Hombres","Ciudad de México","5 a 9 años","0.244603903469699"
"Álvaro Obregón","2022","Hombres","Ciudad de México","10 a 14 años","0.267148144595602"
"Álvaro Obregón","2022","Hombres","Ciudad de México","15 a 19 años","0.292318467116231"
"Álvaro Obregón","2022","Hombres","Ciudad de México","20 a 24 años","0.314284080138212"
"Álvaro Obregón","2022","Hombres","Ciudad de México","25 a 29 años","0.336127291061286"
"Álvaro Obregón","2022","Hombres","Ciudad de México","30 a 34 años","0.340255580033503"
"Álvaro Obregón","2022","Hombres","Ciudad de México","35 a 39 años","0.32262967779094"
"Álvaro Obregón","2022","Hombres","Ciudad de México","40 a 44 años","0.294577342214236"
"Álvaro Obregón","2022","Hombres","Ciudad de México","45 a 49 años","0.276884675190452"
"Álvaro Obregón","2022","Hombres","Ciudad de México","50 a 54 años","0.254418326309307"
"Álvaro Obregón","2022","Hombres","Ciudad de México","55 a 59 años","0.226421628050288"
"Álvaro Obregón","2022","Hombres","Ciudad de México","60 a 64 años","0.194519190089792"
