persona_id,hogar_id,vivienda_id,upm_diseno,estrato_diseno,anio,cobertura,edad,sexo_codigo,sexo,grupo_edad,factor,asiste_servicio_educativo_cuidado,razon_no_asiste_codigo,razon_no_asiste,horas_diarias_servicio,pago_mensual_servicio_pesos,pago_mensual_topado_98000,modulo_0a5_aplicable,recibio_cuidado_dentro_hogar,recibio_cuidado_otro_hogar,cuidado_otro_hogar_remunerado,pago_semanal_cuidado_externo_pesos,pago_semanal_topado_98000,necesita_mas_cuidado_modulo_0a5,complementaria_con_servicio_educativo_cuidado,cuidador_principal_parentesco_codigo,cuidador_principal_parentesco,cuidador_principal_sexo_codigo,cuidador_principal_edad,n_integrantes,n_ninos_0a5,n_adultos_18mas,barrera_economica_distancia_horario,necesidad_y_preferencia_servicio,P3_10,P3_11,P3_12,P3_14,PN_C0005,P4_16,P4_18,P4_18A,P4_19,P4_21,P4_22,P4_24,P4_25_2,cuidador_id,cuidador_cpea_codigo,cuidador_participa_mercado_laboral
46610105,466101,46610,00466,0068,2022,nacional,3,2,mujer,3-5,6657,1,,,4.0,900.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,22.0,5,2,3,,0.0,1,,4.0,900.0,1,1.0,03,1.0,2.0,,,2.0,,46610103,2.0,0.0
46614104,466141,46614,00466,0068,2022,nacional,5,2,mujer,3-5,6657,1,,,3.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,35.0,4,1,2,,0.0,1,,3.0,0.0,1,1.0,01,1.0,2.0,,,2.0,,46614101,1.0,1.0
46619105,466191,46619,00466,0068,2022,nacional,3,1,hombre,3-5,6657,1,,,6.0,1850.0,0,1,1.0,0.0,,,0,0.0,,3.0,Abuela,2.0,74.0,5,1,4,,0.0,1,,6.0,1850.0,1,1.0,02,3.0,2.0,,,2.0,,46619102,2.0,0.0
46620104,466201,46620,00466,0068,2022,nacional,0,1,hombre,0-2,6657,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,41.0,4,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46620102,2.0,0.0
46701104,467011,46701,00467,0068,2022,nacional,5,1,hombre,3-5,8546,1,,,3.0,33.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,38.0,5,2,2,,0.0,1,,3.0,33.0,1,1.0,02,1.0,2.0,,,2.0,,46701102,2.0,0.0
46701105,467011,46701,00467,0068,2022,nacional,3,2,mujer,3-5,8546,0,2.0,No puede pagar los gastos escolares,,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,38.0,5,2,2,1.0,0.0,2,2.0,,,1,1.0,02,1.0,2.0,,,2.0,,46701102,2.0,0.0
46702103,467021,46702,00467,0068,2022,nacional,4,2,mujer,3-5,8546,1,,,4.0,500.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,22.0,3,1,2,,0.0,1,,4.0,500.0,1,1.0,02,1.0,2.0,,,2.0,,46702102,1.0,1.0
46703203,467032,46703,00467,0068,2022,nacional,2,2,mujer,0-2,8546,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,20.0,4,2,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46703202,2.0,0.0
46703204,467032,46703,00467,0068,2022,nacional,0,2,mujer,0-2,8546,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,20.0,4,2,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46703202,2.0,0.0
46705106,467051,46705,00467,0068,2022,nacional,4,2,mujer,3-5,8546,1,,,3.0,33.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,41.0,6,1,2,,0.0,1,,3.0,33.0,1,1.0,02,1.0,2.0,,,2.0,,46705102,2.0,0.0
46715103,467151,46715,00467,0068,2022,nacional,4,2,mujer,3-5,8546,1,,,3.0,37.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,31.0,3,1,2,,0.0,1,,3.0,37.0,1,1.0,02,1.0,2.0,,,2.0,,46715102,2.0,0.0
46718104,467181,46718,00467,0068,2022,nacional,0,2,mujer,0-2,8546,0,3.0,No hay centros o quedan lejos,,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,30.0,4,1,2,1.0,0.0,2,3.0,,,1,1.0,02,1.0,2.0,,,2.0,,46718102,2.0,0.0
46719108,467191,46719,00467,0068,2022,nacional,0,1,hombre,0-2,8546,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,14,1,7,0.0,0.0,2,1.0,,,1,1.0,04,1.0,2.0,,,2.0,,46719104,2.0,0.0
46805105,468051,46805,00468,0069,2022,nacional,5,2,mujer,3-5,7548,1,,,3.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,6,2,4,,0.0,1,,3.0,0.0,1,1.0,04,1.0,2.0,,,2.0,,46805104,2.0,0.0
46805106,468051,46805,00468,0069,2022,nacional,1,2,mujer,0-2,7548,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,27.0,6,2,4,0.0,0.0,2,1.0,,,1,1.0,04,1.0,2.0,,,2.0,,46805104,2.0,0.0
46807103,468071,46807,00468,0069,2022,nacional,1,2,mujer,0-2,7548,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,16.0,4,2,1,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46807102,2.0,0.0
46807104,468071,46807,00468,0069,2022,nacional,0,2,mujer,0-2,7548,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,16.0,4,2,1,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46807102,2.0,0.0
46816104,468161,46816,00468,0069,2022,nacional,3,1,hombre,3-5,7548,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,1.0,0.0,,0,0.0,,1.0,Madre,2.0,28.0,4,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,1.0,2.0,,2.0,,46816102,1.0,1.0
46820105,468201,46820,00468,0069,2022,nacional,4,1,hombre,3-5,7548,1,,,3.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,34.0,5,1,2,,0.0,1,,3.0,0.0,1,1.0,02,1.0,2.0,,,2.0,,46820102,1.0,1.0
46904105,469041,46904,00469,0069,2022,nacional,4,2,mujer,3-5,6160,1,,,4.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,38.0,5,1,2,,0.0,1,,4.0,0.0,1,1.0,02,1.0,2.0,,,2.0,,46904102,2.0,0.0
46906103,469061,46906,00469,0069,2022,nacional,1,2,mujer,0-2,6160,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,20.0,3,1,2,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46906102,2.0,0.0
46907103,469071,46907,00469,0069,2022,nacional,1,1,hombre,0-2,6160,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,16.0,3,1,1,0.0,0.0,2,1.0,,,1,1.0,02,1.0,2.0,,,2.0,,46907102,2.0,0.0
46908105,469081,46908,00469,0069,2022,nacional,2,2,mujer,0-2,6160,0,1.0,"No tiene necesidad, está pequeño",,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,28.0,6,2,4,0.0,0.0,2,1.0,,,1,1.0,03,1.0,2.0,,,2.0,,46908103,2.0,0.0
46908106,469081,46908,00469,0069,2022,nacional,3,1,hombre,3-5,6160,1,,,4.0,,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,28.0,6,2,4,,0.0,1,,4.0,99999.0,1,1.0,03,1.0,2.0,,,2.0,,46908103,2.0,0.0
46922106,469221,46922,00469,0069,2022,nacional,5,1,hombre,3-5,6160,1,,,4.0,0.0,0,1,1.0,0.0,,,0,0.0,,1.0,Madre,2.0,26.0,7,2,5,,0.0,1,,4.0,0.0,1,1.0,03,1.0,2.0,,,2.0,,46922103,1.0,1.0
