Alcaldia,Fecha,Categoria,Valor
Tlalpan,2022-03-31,Mujeres,38.8
Tlalpan,2022-06-30,Hombres,24.4
Tlalpan,2022-06-30,Mujeres,35.9
Tlalpan,2022-09-30,Hombres,24.4
Tlalpan,2022-09-30,Mujeres,31.9
Tlalpan,2022-12-31,Hombres,26.6
Tlalpan,2022-12-31,Mujeres,36.0
Tlalpan,2023-03-31,Hombres,17.1
Tlalpan,2023-03-31,Mujeres,31.1
Tlalpan,2023-06-30,Hombres,21.4
Tlalpan,2023-06-30,Mujeres,29.0
Tlalpan,2023-09-30,Hombres,20.7
Tlalpan,2023-09-30,Mujeres,32.2
Tlalpan,2023-12-31,Hombres,21.9
Tlalpan,2023-12-31,Mujeres,28.8
Tlalpan,2024-03-31,Hombres,22.2
Tlalpan,2024-03-31,Mujeres,31.5
Tlalpan,2024-06-30,Hombres,15.3
Tlalpan,2024-06-30,Mujeres,25.5
Tlalpan,2024-09-30,Hombres,21.3
Tlalpan,2024-09-30,Mujeres,34.5
Miguel Hidalgo,2017-03-31,Hombres,49.6
Miguel Hidalgo,2017-03-31,Mujeres,40.0
Miguel Hidalgo,2017-06-30,Hombres,36.6
Miguel Hidalgo,2017-06-30,Mujeres,51.3
Miguel Hidalgo,2017-09-30,Hombres,32.1
Miguel Hidalgo,2017-09-30,Mujeres,40.5
Miguel Hidalgo,2017-12-31,Hombres,20.5
Miguel Hidalgo,2017-12-31,Mujeres,38.7
Miguel Hidalgo,2018-03-31,Hombres,14.6
Miguel Hidalgo,2018-03-31,Mujeres,52.3
Miguel Hidalgo,2018-06-30,Hombres,20.5
Miguel Hidalgo,2018-06-30,Mujeres,55.7
Miguel Hidalgo,2018-09-30,Hombres,28.6
Miguel Hidalgo,2018-09-30,Mujeres,37.6
Miguel Hidalgo,2018-12-31,Hombres,25.7
Miguel Hidalgo,2018-12-31,Mujeres,37.4
Miguel Hidalgo,2019-03-31,Hombres,44.0
Miguel Hidalgo,2019-03-31,Mujeres,22.3
Miguel Hidalgo,2019-06-30,Hombres,48.3
Miguel Hidalgo,2019-06-30,Mujeres,22.5
Miguel Hidalgo,2019-09-30,Hombres,30.9
